time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-15T00:32:19.000Z,-32.073,-71.57,25.1,4.4,mb,,,,1.37,us,usc000tckf,2015-03-04T21:55:04.040Z,"52 km NW of La Ligua, Chile",earthquake,6.1,5,0.191,9,reviewed,guc,us
2014-12-10T08:09:57.000Z,-32.138,-71.887,35.8,4.1,ml,,,,1,us,usc000t9rg,2015-03-04T21:54:54.040Z,"70 km WNW of La Ligua, Chile",earthquake,7,8.5,,,reviewed,guc,guc
2014-11-29T13:30:16.860Z,-29.6921,-71.5803,51.83,4.5,mb,,91,0.83,1.3,us,usb000t160,2015-02-24T00:35:11.040Z,"37 km NW of Coquimbo, Chile",earthquake,5.4,8,0.18,13,reviewed,us,us
2014-11-28T20:55:36.760Z,-30.9068,-71.6991,67.73,4.6,mb,,86,0.668,0.88,us,usb000t0zb,2022-07-27T09:06:20.170Z,"58 km SW of Ovalle, Chile",earthquake,5.4,4.3,0.223,7,reviewed,us,us
2014-11-28T08:22:07.020Z,-30.2434,-71.7013,25.68,4.3,mwr,,107,0.784,1.23,us,usb000t0uf,2022-07-27T09:02:23.470Z,"47 km SW of Coquimbo, Chile",earthquake,4.6,3.4,0.054,33,reviewed,us,us
2014-10-12T16:23:12.220Z,-30.8037,-71.226,76.57,4.4,mb,,80,0.443,0.75,us,usb000slaw,2015-01-06T23:49:53.040Z,"22 km S of Ovalle, Chile",earthquake,6,3.9,0.155,15,reviewed,us,us
2014-10-03T03:38:17.000Z,-31.759,-71.425,45.1,4.2,mb,,,,1.06,us,usb000sidr,2014-12-23T01:41:59.040Z,"27 km WSW of Illapel, Chile",earthquake,5.4,8.1,0.373,4,reviewed,guc,us
2014-09-25T19:04:05.000Z,-31.597,-71.441,53.3,4.6,mb,,,,0.76,us,usb000sfzu,2014-12-20T00:53:58.040Z,"26 km W of Illapel, Chile",earthquake,6.6,2.8,0.273,5,reviewed,guc,us
2014-09-18T23:43:25.000Z,-30.446,-72.099,35.1,4.2,mb,,,,1.38,us,usb000sh26,2014-12-19T00:05:21.040Z,"88 km WNW of Ovalle, Chile",earthquake,5.5,8.4,0.305,3,reviewed,guc,us
2014-09-15T06:35:19.000Z,-31.973,-71.241,84.9,4.5,mb,,,,1.06,us,usb000scf2,2014-12-08T23:31:01.040Z,"33 km SW of Salamanca, Chile",earthquake,5,4.7,0.085,46,reviewed,guc,us
