time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T00:33:05.340Z,-30.5723,-71.5838,29,6.3,mww,,45,0.11,0.81,us,us20004z5b,2022-05-03T19:07:23.070Z,"37 km W of Ovalle, Chile",earthquake,4.5,1.8,,,reviewed,us,us
2016-02-07T02:49:34.730Z,-31.7876,-72.1566,11.93,4.4,mb,,150,1.146,0.76,us,us20004yhb,2016-04-19T01:33:22.040Z,"95 km W of Illapel, Chile",earthquake,7.3,5.9,0.267,4,reviewed,us,us
2016-02-05T05:28:08.110Z,-31.0741,-71.6711,23.7,5.1,mwr,,141,0.4,0.79,us,us20004xzw,2022-05-03T17:43:24.087Z,"69 km SW of Ovalle, Chile",earthquake,5,4.2,,,reviewed,us,guc
2016-02-05T05:24:40.500Z,-31.0793,-71.7851,24.66,5,mwr,,145,0.424,0.8,us,us20004xzv,2016-04-19T01:33:18.040Z,"77 km SW of Ovalle, Chile",earthquake,4.6,4.2,,,reviewed,us,guc
2016-02-04T17:59:58.640Z,-31.0669,-71.7512,26.98,4.6,mb,,159,0.404,0.75,us,us20004yzf,2016-04-14T22:51:44.040Z,"73 km SW of Ovalle, Chile",earthquake,6.8,6,0.244,5,reviewed,us,us
2016-02-04T17:55:00.740Z,-31.0531,-71.7082,25.27,4.9,mwr,,113,0.383,0.85,us,us20004x4m,2022-08-02T08:34:39.802Z,"69 km SW of Ovalle, Chile",earthquake,6,4,,,reviewed,us,guc
2016-02-03T17:20:55.500Z,-30.6222,-72.0518,10,4.4,mb,,158,0.362,1.19,us,us20004y5b,2016-04-14T22:51:42.040Z,"81 km W of Ovalle, Chile",earthquake,3.9,1.9,0.539,1,reviewed,us,us
2016-02-01T03:19:44.540Z,-30.6643,-71.2964,44.71,3.7,ml,,96,0.291,0.52,us,us20004wqx,2016-04-14T22:51:38.040Z,"Near the coast of Coquimbo, Chile",earthquake,3.8,17.7,,,reviewed,us,guc
2016-01-30T09:27:15.940Z,-30.1801,-71.6291,23.34,4.3,mb,,147,0.427,0.84,us,us20004w0u,2016-04-14T22:51:35.040Z,"37 km SW of Coquimbo, Chile",earthquake,2.7,5.8,0.218,10,reviewed,us,us
2016-01-29T20:07:15.100Z,-30.3325,-71.6327,35.78,5.2,mwr,,113,0.34,1.1,us,us20004vly,2022-08-02T07:45:18.951Z,"50 km SW of Coquimbo, Chile",earthquake,4.7,4.1,,,reviewed,us,guc
